"points","text","img","url"
"1600","MONTBLANC HERITAGE CUFFLINKS","http://www.mcfina.co.uk/Icons/iSSPRIT0000G013a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSPRIT0000G013"
"1630","LINKS OF LONDON PAVE ROUND NECKLACE","http://www.mcfina.co.uk/Icons/iSTLILO0000G025a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/STLILO0000G025"
"1630","BOSE ON EAR WIRELESS HEADPHONES WITH BLUETOOTH","http://www.mcfina.co.uk/Icons/iELELPR0000G238a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/ELELPR0000G238"
"1630","ROTARY OXFORD MEN'S BRACELET WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G064a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G064"
"1630","LINKS OF LONDON EFFERVESCENCE STAR BRACELET","http://www.mcfina.co.uk/Icons/iSTLILO0000G032a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/STLILO0000G032"
"1650","DULWICH DESIGNS LARGE JEWELLERY BOX","http://www.mcfina.co.uk/Icons/iBXDUDE0000G020a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/BXDUDE0000G020"
"1650","FRED BENNETT CUFFLINKS AND TIE CLIP","http://www.mcfina.co.uk/Icons/iSTGECK0000G089a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/STGECK0000G089"
"1650","ARTHUR PRICE 44 PIECE HARLEY CUTLERY SET","http://www.mcfina.co.uk/Icons/iCUARPL0000G082a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CUARPL0000G082"
"1660","ROTARY LADIES KENSINGTON BRACELET WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G082a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G082"
"1660","BULVOA GENTS AEROJET CHRONOGRAPH WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G125a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G125"
"1660","ROTARY LADIES CAMBRIDGE BRACELET WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G078a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G078"
"1660","ROTARY MEN'S WINDSOR AUTOMATIC LEATHER WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G079a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G079"
"1660","ROTARY LADIES KENSINGTON BRACELET WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G081a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G081"
"1660","BOSE SOUNDSPORT BLACK WIRELESS SPORT HEADPHONES","http://www.mcfina.co.uk/Icons/iELELPR0000G241a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/ELELPR0000G241"
"1660","CITIZEN CORSO TWO-TONE GENTS WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G154a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G154"
"1660","ROTARY ULTRA SLIM GOLD PLATED QUARTZ WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G084a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G084"
"1660","GARMIN APPROACH S20 GPS WATCH","http://www.mcfina.co.uk/Icons/iSOTEIC0000G030a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOTEIC0000G030"
"1670","REVO SUPERSIGNAL DAB/FM BLUETOOTH RADIO","http://www.mcfina.co.uk/Icons/iELELPR0000G243a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/ELELPR0000G243"
"1680","PANASONIC DMC-FT30 BLUE CAMERA SET","http://www.mcfina.co.uk/Icons/iCADITE0000G048a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CADITE0000G048"
"1690","WATCH ROTARY LADIES","http://www.mcfina.co.uk/Icons/iWATCH793a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/WATCH793"
"1690","CITIZEN ECO-DRIVE ROSE GOLD DATE WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G075a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G075"
"1690","CITIZEN LADIES AXIOM  WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G077a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G077"
"1700","KODAK PIXPRO AZ252 CAMERA INC 32GB SD &amp; CASE","http://www.mcfina.co.uk/Icons/iCADITE0000G077a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CADITE0000G077"
"1700","WILSON BURN FST 99 TENNIS RACKET WRT72910U2","http://www.mcfina.co.uk/Icons/iSOAMSP0000G149a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOAMSP0000G149"
"1700","PRAKTICA LUXMEDIA Z35 BLACK BRIDGE CAMERA KIT","http://www.mcfina.co.uk/Icons/iCADITE0000G104a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CADITE0000G104"
"1700","BOSE SOUNDLINK MINI BLUETOOTH SPEAKER II - CARBON","http://www.mcfina.co.uk/Icons/iELAMUK0000G031a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/ELAMUK0000G031"
"1740","ROTARY LADIES CAMBRIDGE BRACELET WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G080a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G080"
"1750","DECANTER SET DARTINGTON CRYSTAL","http://www.mcfina.co.uk/Icons/iGLDACL0000G037a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/GLDACL0000G037"
"1750","FRED BENNETT BRACELET, DOG TAG W/ CUFFLINKS","http://www.mcfina.co.uk/Icons/iSTGECK0000G121a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/STGECK0000G121"
"1750","GHD PLATINUM + STYLER WHITE","http://www.mcfina.co.uk/Icons/iBYTEIC0000G001a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/BYTEIC0000G001"
"1750","GHD PLATINUM + STYLER BLACK","http://www.mcfina.co.uk/Icons/iBYTEIC0000G002a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/BYTEIC0000G002"
"1780","SET OF FOUR SILVER PLATED TABLE MATS","http://www.mcfina.co.uk/Icons/iSPARPL0000G020a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SPARPL0000G020"
"1790","CANON IXUS 285 HS CAMERA BLACK 20.2MP","http://www.mcfina.co.uk/Icons/iCADITE0000G056a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CADITE0000G056"
"1790","MONTBLANC MEISTERSTUCK CUFFLINKS","http://www.mcfina.co.uk/Icons/iSSPRIT0000G028a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSPRIT0000G028"
"1790","CITIZEN LADIES ECO-DRIVE  BRACELET WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G057a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G057"
"1790","COBRA F-MAX SUPERLITE OFFSET FAIRWAY WOOD","http://www.mcfina.co.uk/Icons/iSOGOLF0000G082a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOGOLF0000G082"
"1815","BRITISH ANTIQUE FRAME","http://www.mcfina.co.uk/Icons/iSTCARR0000G984a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/STCARR0000G984"
"1820","BULOVA GENTS CLASSIC AEROJET WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G124a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G124"
"1830","LE CREUSET 32CM CAST IRON WOK","http://www.mcfina.co.uk/Icons/iCWLCUL0000G123a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CWLCUL0000G123"
"1830","ROTARY MEN'S WINDSOR AUTOMATIC STRAP WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G065a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G065"
"1830","MICHAEL KORS MK3298 LADIES WATCH","http://www.mcfina.co.uk/Icons/iSSGOMU0000G157a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSGOMU0000G157"
"1850","CITIZEN MEN'S LEATHER STRAP WATCH CA7003-06E","http://www.mcfina.co.uk/Icons/iSSCWUK0000G098a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G098"
"1880","SOUNDLINK WIRELESS HEADPHONES II","http://www.mcfina.co.uk/Icons/iELELPR0000G227a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/ELELPR0000G227"
"1890","ARTHUR PRICE 44PCE CUTLERY SET IN OLD ENGLISH","http://www.mcfina.co.uk/Icons/iCUARPL0000G070a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CUARPL0000G070"
"1910","BULOVA GENTS CLASSIC WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G122a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G122"
"1910","BULOVA LADIES CLASSIC AEROJET WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G148a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G148"
"1910","ROTARY MEN'S HENLEY GMT WATCH","http://www.mcfina.co.uk/Icons/iSSROWA0000G083a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSROWA0000G083"
"1910","BULOVA GENTS CLASSIC AMBASSADOR WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G123a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G123"
"1910","BULOVA LADIES CLASSIC AMBASSADOR WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G149a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G149"
"1910","BULOVA LADIES MODERN 12 DIAMOND DRESS WATCH.","http://www.mcfina.co.uk/Icons/iSSCWUK0000G150a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G150"
"1920","VILLEROY &amp; BOCH-VICTOR CUTLERY SET 24PCS","http://www.mcfina.co.uk/Icons/iHWVBUL0000G013a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/HWVBUL0000G013"
"1920","9CT YELLOW GOLD RUBY &amp; DIAMOND  HEART PENDANT","http://www.mcfina.co.uk/Icons/i09GECK0000G057a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/09GECK0000G057"
"1920","KODAK PIXPRO AZ422 CAMERA W/ 16GB SDHC &amp; CASE","http://www.mcfina.co.uk/Icons/iCADITE0000G083a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/CADITE0000G083"
"1950","LINKS OF LONDON SWEETIE BRACELET - MEDIUM","http://www.mcfina.co.uk/Icons/iSTLILO0000G008a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/STLILO0000G008"
"1950","MAYFAIR FOOTED CENTRE BOWL","http://www.mcfina.co.uk/Icons/iGLRSCL0000G038a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/GLRSCL0000G038"
"1950","MONT BLANC MONEY CLIP","http://www.mcfina.co.uk/Icons/iSSPRIT0000G024a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSPRIT0000G024"
"1980","WALLET  AND SPECTROLITE LAPTOP CASE","http://www.mcfina.co.uk/Icons/iLUAIML0000G249a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/LUAIML0000G249"
"1990","APPLE AIRPODS WITH WIRELESS CHARGING CASE","http://www.mcfina.co.uk/Icons/iELTEIC0000G183a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/ELTEIC0000G183"
"1990","LADIES ECO-DRIVE GOLD PVD PLATED WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G097a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G097"
"1990","SOUNDLINK REVOLVE BLUETOOTH SPEAKER - BLACK","http://www.mcfina.co.uk/Icons/iELELPR0000G233a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/ELELPR0000G233"
"1990","BULOVA GENTS CLASSIC CHRONOGRAPH WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G121a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G121"
"1990","BULOVA LADIES DIAMOND WATCH","http://www.mcfina.co.uk/Icons/iSSCWUK0000G147a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SSCWUK0000G147"
"1990","GARMIN VIVOACTIVE 3 - BLACK","http://www.mcfina.co.uk/Icons/iSOTEIC0000G028a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOTEIC0000G028"
"1990","WILSON STAFF D7 GOLF DRIVER - RIGHT HAND","http://www.mcfina.co.uk/Icons/iSOAMSP0000G163a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/SOAMSP0000G163"
"2000","WHITE GOLD VINTAGE DROP EARRINGS","http://www.mcfina.co.uk/Icons/iSTGECK0000G056a.jpg","https://www.therewardsite.com/mgsgifts/ProductDetails/STGECK0000G056"
